Date,T2M,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN
1983-01-01,20.58,2.43,0.82,71.81,-999.0
1983-01-02,20.17,1.21,1.36,79.77,-999.0
1983-01-03,19.24,1.33,0.91,79.7,-999.0
1983-01-04,19.39,4.37,1.28,81.99,-999.0
1983-01-05,20.25,1.77,0.6,77.42,-999.0
1983-01-06,20.42,1.02,0.97,78.98,-999.0
1983-01-07,19.33,0.57,1.34,82.75,-999.0
1983-01-08,19.46,0.43,1.4,77.95,-999.0
1983-01-09,20.37,0.25,1.3,78.39,-999.0
1983-01-10,20.69,0.1,1.16,77.97,-999.0
1983-01-11,20.8,0.27,1.47,77.45,-999.0
1983-01-12,20.37,0.83,1.55,78.39,-999.0
1983-01-13,20.27,1.29,1.17,78.44,-999.0
1983-01-14,20.57,0.44,1.41,76.02,-999.0
1983-01-15,20.89,0.55,1.57,77.15,-999.0
1983-01-16,21.35,0.36,1.13,77.16,-999.0
1983-01-17,20.76,0.71,0.85,77.85,-999.0
1983-01-18,21.41,0.3,1.08,73.71,-999.0
1983-01-19,21.81,0.12,0.98,75.66,-999.0
1983-01-20,21.75,0.96,1.09,79.58,-999.0
1983-01-21,21.05,0.96,1.77,75.95,-999.0
1983-01-22,20.45,2.46,1.11,79.86,-999.0
1983-01-23,21.15,1.13,1.11,76.85,-999.0
1983-01-24,20.43,1.58,1.09,79.12,-999.0
1983-01-25,20.1,4.45,0.7,82.78,-999.0
1983-01-26,20.81,2.81,0.94,79.78,-999.0
1983-01-27,21.8,0.93,0.99,75.76,-999.0
1983-01-28,21.25,0.93,0.77,78.77,-999.0
1983-01-29,21.17,0.91,1.24,77.39,-999.0
1983-01-30,21.45,0.26,1.36,75.02,-999.0
1983-01-31,21.23,0.37,1.29,75.68,-999.0
1983-02-01,21.58,0.94,1.27,75.12,-999.0
1983-02-02,21.64,0.27,1.02,75.69,-999.0
1983-02-03,21.78,0.44,1.42,77.51,-999.0
1983-02-04,22.08,0.79,1.21,76.47,-999.0
1983-02-05,20.59,0.98,1.1,81.06,-999.0
1983-02-06,20.57,2.13,1.23,80.5,-999.0
1983-02-07,21.16,1.29,1.17,76.87,-999.0
1983-02-08,21.46,1.7,1.45,76.97,-999.0
1983-02-09,22.1,0.09,1.5,69.24,-999.0
1983-02-10,23.26,0.01,1.24,62.31,-999.0
1983-02-11,22.91,2.11,0.69,67.85,-999.0
1983-02-12,20.14,7.42,0.87,85.05,-999.0
1983-02-13,19.68,3.42,1.15,79.47,-999.0
1983-02-14,21.9,1.71,0.84,66.01,-999.0
1983-02-15,21.04,2.9,0.65,74.13,-999.0
