Date,T2M,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN
1983-01-01,19.82,2.3,1.06,73.37,-999.0
1983-01-02,19.76,1.18,1.41,78.12,-999.0
1983-01-03,19.29,1.91,0.96,77.5,-999.0
1983-01-04,19.06,4.59,1.18,82.54,-999.0
1983-01-05,19.38,1.72,0.72,78.45,-999.0
1983-01-06,19.96,1.39,0.82,79.96,-999.0
1983-01-07,18.52,0.52,1.2,84.63,-999.0
1983-01-08,18.89,0.42,1.29,78.03,-999.0
1983-01-09,19.76,0.26,1.27,77.81,-999.0
1983-01-10,19.81,0.08,1.2,77.62,-999.0
1983-01-11,20.03,0.08,1.49,76.37,-999.0
1983-01-12,19.61,0.69,1.55,77.13,-999.0
1983-01-13,19.36,0.94,1.29,77.84,-999.0
1983-01-14,19.75,0.3,1.37,74.76,-999.0
1983-01-15,20.28,0.32,1.54,76.2,-999.0
1983-01-16,20.74,0.07,1.23,75.47,-999.0
1983-01-17,20.19,0.13,0.95,76.36,-999.0
1983-01-18,20.67,0.04,1.15,75.31,-999.0
1983-01-19,21.02,0.07,1.1,76.55,-999.0
1983-01-20,20.94,0.38,1.08,78.4,-999.0
1983-01-21,19.86,1.07,1.62,77.4,-999.0
1983-01-22,20.22,2.47,1.2,78.93,-999.0
1983-01-23,20.42,1.1,1.16,76.64,-999.0
1983-01-24,19.86,1.87,1.02,77.45,-999.0
1983-01-25,19.31,3.23,0.73,84.51,-999.0
1983-01-26,19.84,0.75,0.91,80.11,-999.0
1983-01-27,20.93,0.12,1.2,74.82,-999.0
1983-01-28,20.89,0.09,1.07,76.58,-999.0
1983-01-29,20.42,0.19,1.15,76.19,-999.0
1983-01-30,21.04,0.05,1.15,75.48,-999.0
1983-01-31,20.68,0.45,0.94,76.91,-999.0
1983-02-01,20.75,0.75,1.22,76.08,-999.0
1983-02-02,21.1,0.43,0.98,74.87,-999.0
1983-02-03,21.01,0.53,1.27,77.36,-999.0
1983-02-04,21.24,0.88,1.16,77.08,-999.0
1983-02-05,20.31,1.33,1.11,81.13,-999.0
1983-02-06,20.35,3.11,1.18,80.23,-999.0
1983-02-07,20.79,1.45,1.23,75.94,-999.0
1983-02-08,20.63,3.9,1.31,76.66,-999.0
1983-02-09,21.28,0.15,1.47,69.06,-999.0
1983-02-10,22.4,0.02,1.3,62.28,-999.0
1983-02-11,22.24,0.89,0.61,68.46,-999.0
1983-02-12,20.9,2.88,0.69,78.31,-999.0
1983-02-13,19.19,2.05,1.19,79.53,-999.0
1983-02-14,21.68,1.96,0.71,64.34,-999.0
1983-02-15,21.38,0.93,0.5,68.89,-999.0
1983-02-16,20.21,2.26,0.92,76.9,-999.0
1983-02-17,21.02,2.11,1.06,70.88,-999.0
1983-02-18,19.55,5.54,0.99,78.83,-999.0
1983-02-19,20.05,1.46,1.3,80.27,-999.0
1983-02-20,20.71,0.03,1.0,77.66,-999.0
1983-02-21,19.48,0.0,1.18,79.42,-999.0
1983-02-22,20.66,0.0,1.03,74.98,-999.0
1983-02-23,22.06,0.0,1.25,68.86,-999.0
1983-02-24,22.21,0.0,1.47,66.31,-999.0
1983-02-25,22.67,0.17,1.5,64.72,-999.0
1983-02-26,22.57,0.05,1.3,65.47,-999.0
1983-02-27,23.07,0.03,1.12,63.38,-999.0
1983-02-28,22.4,0.42,1.39,66.96,-999.0
1983-03-01,20.97,1.28,1.05,73.87,-999.0
1983-03-02,20.85,1.48,1.19,74.49,-999.0
1983-03-03,21.86,0.95,1.41,68.47,-999.0
1983-03-04,22.33,1.73,1.33,67.53,-999.0
1983-03-05,22.7,0.86,1.37,65.3,-999.0
1983-03-06,22.63,1.31,1.21,66.74,-999.0
1983-03-07,22.31,0.15,1.42,66.27,-999.0
1983-03-08,22.33,0.03,1.15,66.8,-999.0
1983-03-09,20.66,0.32,1.09,72.98,-999.0
1983-03-10,21.86,0.17,1.15,68.7,-999.0
1983-03-11,22.04,0.28,1.17,70.02,-999.0
1983-03-12,22.13,1.63,1.21,70.09,-999.0
1983-03-13,21.61,1.83,1.09,72.66,-999.0
1983-03-14,21.5,4.25,1.18,76.1,-999.0
1983-03-15,21.57,2.7,1.05,75.05,-999.0
1983-03-16,21.95,4.12,0.81,73.27,-999.0
1983-03-17,21.12,1.22,0.85,74.11,-999.0
1983-03-18,20.26,2.31,0.86,77.06,-999.0
1983-03-19,21.2,1.83,1.31,75.59,-999.0
1983-03-20,20.69,2.86,1.42,75.82,-999.0
1983-03-21,21.43,3.7,1.46,67.94,-999.0
1983-03-22,21.21,2.54,1.44,74.22,-999.0
1983-03-23,21.21,1.1,0.78,75.17,-999.0
1983-03-24,21.66,1.98,1.0,70.96,-999.0
1983-03-25,20.35,7.54,0.85,72.44,-999.0
1983-03-26,21.52,2.09,1.24,71.18,-999.0
1983-03-27,18.91,12.94,1.24,88.2,-999.0
1983-03-28,19.58,10.17,1.21,83.31,-999.0
1983-03-29,20.28,12.99,1.23,79.87,-999.0
1983-03-30,20.68,12.61,0.96,80.41,-999.0
1983-03-31,20.32,2.23,1.17,79.21,-999.0
1983-04-01,20.15,1.7,1.11,79.41,-999.0
1983-04-02,20.43,3.19,1.24,76.34,-999.0
1983-04-03,20.24,0.94,1.42,74.86,-999.0
1983-04-04,20.57,1.46,1.07,74.75,-999.0
1983-04-05,19.56,2.56,1.06,82.59,-999.0
1983-04-06,20.26,6.36,1.19,79.09,-999.0
1983-04-07,20.13,6.24,1.47,78.88,-999.0
1983-04-08,20.07,4.98,1.57,76.78,-999.0
1983-04-09,19.76,6.93,1.52,76.7,-999.0
1983-04-10,20.02,3.77,1.61,76.1,-999.0
1983-04-11,20.43,1.34,1.4,73.44,-999.0
1983-04-12,21.2,1.3,1.14,67.31,-999.0
1983-04-13,20.49,4.07,1.28,78.6,-999.0
1983-04-14,20.59,4.64,1.37,79.41,-999.0
1983-04-15,19.16,8.11,1.23,85.97,-999.0
1983-04-16,18.65,6.86,1.36,84.19,-999.0
1983-04-17,19.55,7.99,1.23,80.89,-999.0
1983-04-18,19.41,7.19,1.34,84.33,-999.0
1983-04-19,20.02,5.48,1.18,81.96,-999.0
1983-04-20,20.46,7.32,1.45,78.28,-999.0
1983-04-21,19.15,3.11,1.01,82.78,-999.0
1983-04-22,19.11,2.33,1.07,81.76,-999.0
1983-04-23,19.82,2.38,1.17,82.13,-999.0
1983-04-24,18.24,6.5,1.04,88.75,-999.0
1983-04-25,19.29,5.18,1.32,83.82,-999.0
1983-04-26,18.54,8.13,1.0,87.78,-999.0
