Date,T2M,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN
1983-01-01,17.42,2.19,1.24,77.97,-999.0
1983-01-02,17.23,3.13,1.62,82.64,-999.0
1983-01-03,16.26,4.53,1.0,83.29,-999.0
1983-01-04,17.16,4.94,1.37,81.64,-999.0
1983-01-05,16.53,7.62,0.93,83.01,-999.0
1983-01-06,16.42,2.09,0.67,87.79,-999.0
1983-01-07,16.12,0.46,1.1,89.16,-999.0
1983-01-08,16.64,0.5,1.2,79.03,-999.0
1983-01-09,17.44,0.48,1.27,81.33,-999.0
1983-01-10,17.69,0.23,1.28,80.22,-999.0
1983-01-11,17.36,0.1,1.6,82.61,-999.0
1983-01-12,17.14,0.46,1.67,80.56,-999.0
1983-01-13,17.81,0.94,1.5,78.15,-999.0
1983-01-14,17.7,0.79,1.57,78.33,-999.0
1983-01-15,17.86,0.82,1.67,82.45,-999.0
1983-01-16,18.03,0.1,1.34,81.33,-999.0
1983-01-17,17.67,0.0,1.04,82.51,-999.0
1983-01-18,18.24,0.0,1.24,81.15,-999.0
1983-01-19,18.64,0.01,1.12,81.57,-999.0
1983-01-20,18.17,0.07,0.99,84.04,-999.0
1983-01-21,17.12,2.64,1.88,85.15,-999.0
1983-01-22,17.27,5.21,1.58,85.38,-999.0
1983-01-23,17.75,1.45,1.37,83.18,-999.0
1983-01-24,17.88,1.98,1.27,80.03,-999.0
1983-01-25,17.36,4.97,1.04,85.7,-999.0
1983-01-26,17.02,1.59,1.24,86.12,-999.0
1983-01-27,17.76,0.25,1.32,83.35,-999.0
1983-01-28,17.81,0.24,1.44,83.68,-999.0
1983-01-29,17.59,0.26,1.25,82.23,-999.0
1983-01-30,18.64,0.07,1.27,77.15,-999.0
1983-01-31,18.27,0.2,1.11,79.47,-999.0
1983-02-01,18.14,1.0,1.21,82.52,-999.0
1983-02-02,18.7,1.0,0.85,79.68,-999.0
1983-02-03,18.86,0.75,1.27,80.21,-999.0
1983-02-04,18.71,1.44,0.7,82.4,-999.0
1983-02-05,17.47,9.13,1.48,89.31,-999.0
1983-02-06,16.87,10.59,1.36,89.56,-999.0
1983-02-07,17.79,1.1,1.35,82.93,-999.0
1983-02-08,18.26,4.97,1.64,80.61,-999.0
1983-02-09,18.78,1.32,1.61,72.2,-999.0
1983-02-10,18.68,1.39,1.39,74.92,-999.0
1983-02-11,18.03,4.55,0.85,81.16,-999.0
1983-02-12,17.51,4.6,1.08,85.8,-999.0
1983-02-13,16.63,3.27,1.33,81.28,-999.0
1983-02-14,18.16,6.73,0.84,73.23,-999.0
1983-02-15,17.99,0.47,1.31,81.13,-999.0
1983-02-16,17.75,1.74,1.38,80.03,-999.0
1983-02-17,17.27,6.52,1.54,82.27,-999.0
1983-02-18,17.09,6.75,1.1,84.36,-999.0
1983-02-19,17.63,3.22,1.13,83.87,-999.0
1983-02-20,16.99,0.08,1.64,85.87,-999.0
1983-02-21,16.86,0.0,1.43,84.82,-999.0
1983-02-22,18.38,0.0,1.27,78.82,-999.0
1983-02-23,19.22,0.0,1.49,74.3,-999.0
1983-02-24,18.88,0.0,1.71,75.01,-999.0
1983-02-25,19.86,0.08,1.5,69.07,-999.0
1983-02-26,19.65,0.03,1.39,72.76,-999.0
1983-02-27,18.92,1.32,1.36,77.68,-999.0
1983-02-28,18.88,2.1,1.47,77.8,-999.0
1983-03-01,18.17,1.05,1.39,80.03,-999.0
1983-03-02,18.02,1.29,1.38,83.6,-999.0
1983-03-03,18.86,0.41,1.49,78.47,-999.0
1983-03-04,19.06,1.54,1.42,76.28,-999.0
1983-03-05,18.98,1.31,1.56,76.02,-999.0
1983-03-06,18.78,1.72,1.42,78.2,-999.0
1983-03-07,18.14,0.26,1.47,80.97,-999.0
1983-03-08,18.42,0.37,1.15,79.66,-999.0
1983-03-09,17.36,0.54,1.06,83.43,-999.0
1983-03-10,19.01,0.12,1.36,74.45,-999.0
1983-03-11,19.47,0.11,1.25,72.72,-999.0
1983-03-12,19.4,2.75,1.21,74.17,-999.0
1983-03-13,18.8,2.48,1.22,79.35,-999.0
1983-03-14,18.18,5.2,1.07,85.0,-999.0
1983-03-15,18.3,13.36,1.11,85.06,-999.0
1983-03-16,18.52,13.2,0.75,80.9,-999.0
1983-03-17,17.86,3.01,1.14,83.25,-999.0
1983-03-18,18.07,3.97,1.34,81.49,-999.0
1983-03-19,18.74,5.81,1.55,78.63,-999.0
1983-03-20,17.7,1.93,1.37,82.1,-999.0
1983-03-21,18.87,2.32,1.83,73.39,-999.0
1983-03-22,18.45,3.02,1.37,79.28,-999.0
1983-03-23,18.31,3.29,0.85,80.83,-999.0
1983-03-24,18.71,2.11,1.1,78.71,-999.0
1983-03-25,18.83,3.12,0.99,78.28,-999.0
1983-03-26,19.34,1.02,1.01,74.12,-999.0
1983-03-27,18.16,3.25,1.33,81.01,-999.0
1983-03-28,18.66,7.47,1.11,75.49,-999.0
1983-03-29,18.05,16.12,1.49,83.19,-999.0
1983-03-30,19.0,17.88,1.09,80.34,-999.0
1983-03-31,18.63,10.12,1.17,81.06,-999.0
1983-04-01,18.17,5.03,1.17,79.83,-999.0
1983-04-02,18.17,3.85,1.37,79.47,-999.0
1983-04-03,17.85,0.48,1.42,80.92,-999.0
1983-04-04,18.17,1.4,1.24,79.23,-999.0
1983-04-05,17.9,3.23,0.91,84.35,-999.0
1983-04-06,18.33,6.78,1.47,81.91,-999.0
1983-04-07,18.03,6.43,1.51,82.27,-999.0
1983-04-08,17.86,6.61,1.94,81.03,-999.0
1983-04-09,17.38,7.76,1.98,81.44,-999.0
1983-04-10,17.73,3.89,2.16,79.78,-999.0
1983-04-11,18.37,1.55,1.44,75.62,-999.0
1983-04-12,18.65,1.89,1.33,72.98,-999.0
1983-04-13,17.91,6.31,1.46,82.26,-999.0
1983-04-14,18.28,6.61,1.35,81.14,-999.0
1983-04-15,16.74,7.39,1.1,89.49,-999.0
1983-04-16,16.43,3.57,1.89,85.83,-999.0
1983-04-17,17.58,3.23,1.21,82.42,-999.0
1983-04-18,17.42,3.87,1.44,86.13,-999.0
1983-04-19,18.6,2.39,1.57,79.17,-999.0
1983-04-20,18.1,4.51,1.62,82.84,-999.0
1983-04-21,17.68,4.83,1.36,81.12,-999.0
1983-04-22,17.46,1.54,1.01,79.14,-999.0
1983-04-23,18.29,1.16,0.92,78.89,-999.0
1983-04-24,15.96,5.87,1.22,89.59,-999.0
1983-04-25,17.4,9.64,1.21,84.0,-999.0
1983-04-26,16.19,6.8,0.84,87.51,-999.0
1983-04-27,16.66,7.6,0.99,83.34,-999.0
1983-04-28,17.42,8.69,0.9,82.55,-999.0
1983-04-29,17.23,6.7,0.83,87.5,-999.0
1983-04-30,16.98,3.07,1.94,85.75,-999.0
1983-05-01,16.95,3.3,1.72,86.88,-999.0
1983-05-02,16.87,3.77,1.48,85.41,-999.0
1983-05-03,17.79,3.08,1.33,80.7,-999.0
